band,year,species,beaklength,beakdepth
2,1975,fortis,9.4,8
9,1975,fortis,9.2,8.3
12,1975,fortis,9.5,7.5
15,1975,fortis,9.5,8
305,1975,fortis,11.5,9.9
307,1975,fortis,11.1,8.6
308,1975,fortis,9.9,8.4
309,1975,fortis,11.5,9.8
311,1975,fortis,10.8,9.2
312,1975,fortis,11.3,9
313,1975,fortis,11.5,9.5
314,1975,fortis,11.5,8.9
315,1975,fortis,9.7,8.8
316,1975,fortis,10.9,9.7
316,1975,fortis,10.9,9.85
320,1975,fortis,10.1,8.9
321,1975,fortis,10.6,8.5
323,1975,fortis,9.6,8.2
324,1975,fortis,10.3,9.3
326,1975,fortis,10.5,9.1
328,1975,fortis,10.5,8.8
329,1975,fortis,10.9,9.4
330,1975,fortis,11.2,9.6
340,1975,fortis,9.4,8.5
341,1975,fortis,10.1,8.1
342,1975,fortis,9.6,8
343,1975,fortis,10.5,9.7
344,1975,fortis,9.9,8.2
345,1975,fortis,9.9,8.4
346,1975,fortis,9.6,7.9
347,1975,fortis,10.7,9.3
348,1975,fortis,11.8,10.5
349,1975,fortis,10.2,9.7
350,1975,fortis,10.9,9.6
352,1975,fortis,9.3,7.7
354,1975,fortis,11.6,9.8
355,1975,fortis,11.2,9.8
356,1975,fortis,10.1,8.5
360,1975,fortis,10.7,9.2
366,1975,fortis,11,10.1
368,1975,fortis,10.8,9
369,1975,fortis,10.2,9
401,1975,fortis,10.8,9.4
402,1975,fortis,10.4,8.8
403,1975,fortis,11.2,9.9
405,1975,fortis,11.4,9.9
410,1975,fortis,10.9,8.9
411,1975,fortis,10.4,9.4
413,1975,fortis,9.7,8.2
414,1975,fortis,10.2,8.2
415,1975,fortis,9.2,8.1
416,1975,fortis,10.1,8.4
417,1975,fortis,11,10.1
418,1975,fortis,10.3,8.6
419,1975,fortis,10.2,8.5
420,1975,fortis,11,9.7
422,1975,fortis,11,10.3
423,1975,fortis,10.1,8.6
424,1975,fortis,10.7,9.3
425,1975,fortis,10.7,8.9
426,1975,fortis,11,9.7
427,1975,fortis,12,10.2
428,1975,fortis,11.6,10.2
450,1975,fortis,9.9,8.5
451,1975,fortis,10.8,8.8
452,1975,fortis,10.5,8.9
453,1975,fortis,10,8.7
454,1975,fortis,9.6,9.3
455,1975,fortis,11,9.7
456,1975,fortis,10.2,9.6
457,1975,fortis,9.7,7.85
458,1975,fortis,11.1,9.6
459,1975,fortis,10.4,9.3
461,1975,fortis,11.1,9.8
462,1975,fortis,10.2,8.8
463,1975,fortis,10.3,9.1
465,1975,fortis,9.9,9
466,1975,fortis,11,10.4
468,1975,fortis,10.8,9
473,1975,fortis,10.5,9.5
474,1975,fortis,10.5,8.7
475,1975,fortis,11.2,9.6
476,1975,fortis,11.2,9.4
477,1975,fortis,11.7,9.5
479,1975,fortis,10.5,8.6
501,1975,fortis,10.5,9.9
502,1975,fortis,11.2,9.4
503,1975,fortis,10,9.1
504,1975,fortis,10.4,8.6
505,1975,fortis,10.8,9.3
506,1975,fortis,11.1,9.2
507,1975,fortis,10.3,8.8
509,1975,fortis,11.1,9.2
510,1975,fortis,9.8,8.3
511,1975,fortis,10.5,8.8
512,1975,fortis,11,9.4
513,1975,fortis,11.2,10.4
514,1975,fortis,9.8,8.5
515,1975,fortis,9.8,7.9
516,1975,fortis,9.8,7.9
517,1975,fortis,10.3,10.1
518,1975,fortis,11.3,9.8
519,1975,fortis,10,8.3
520,1975,fortis,11.1,9.4
521,1975,fortis,10,9
522,1975,fortis,10.3,8.4
524,1975,fortis,10.2,8.7
526,1975,fortis,10.4,9.2
527,1975,fortis,11,9.5
528,1975,fortis,11.5,10.1
529,1975,fortis,11.8,9.8
560,1975,fortis,10.2,8.5
561,1975,fortis,11.7,10.2
563,1975,fortis,10.1,8.6
564,1975,fortis,10.2,9.3
565,1975,fortis,9.8,8.7
566,1975,fortis,10.6,8.9
567,1975,fortis,10,8.4
572,1975,fortis,12.1,10.3
574,1975,fortis,11.1,9.9
576,1975,fortis,10.5,8.9
578,1975,fortis,10,9.1
579,1975,fortis,10.2,8.6
601,1975,fortis,9.7,7.8
602,1975,fortis,10,8.6
603,1975,fortis,10.7,9.5
604,1975,fortis,11,9.5
605,1975,fortis,10.9,10.2
606,1975,fortis,10.5,9.1
607,1975,fortis,10.9,9.7
608,1975,fortis,10.7,9.4
609,1975,fortis,11.9,10.5
610,1975,fortis,10.2,9
611,1975,fortis,10.5,9.8
615,1975,fortis,11.2,10
616,1975,fortis,10.7,9.6
617,1975,fortis,10.3,9.6
618,1975,fortis,11.6,9.9
619,1975,fortis,10.5,9.3
620,1975,fortis,10.9,9.6
621,1975,fortis,9.8,7.6
622,1975,fortis,10.9,9.2
623,1975,fortis,10.3,8.8
624,1975,fortis,11.7,10.1
625,1975,fortis,11,8.9
626,1975,fortis,9.8,9.5
627,1975,fortis,10.4,8.2
628,1975,fortis,10.8,9.7
629,1975,fortis,11,9.8
670,1975,fortis,10.6,9.3
671,1975,fortis,11.3,9.8
672,1975,fortis,10.1,8.8
673,1975,fortis,11.4,10.1
674,1975,fortis,11.8,10.5
675,1975,fortis,9.9,8.6
676,1975,fortis,11,9.7
677,1975,fortis,10.8,10
678,1975,fortis,11.3,9.7
679,1975,fortis,11.1,10.5
680,1975,fortis,11,10.4
681,1975,fortis,10.4,9.2
682,1975,fortis,9.1,8.1
683,1975,fortis,10.8,9.4
684,1975,fortis,10.6,8.9
685,1975,fortis,8.7,8.2
686,1975,fortis,10.7,9.3
687,1975,fortis,10.3,8.6
688,1975,fortis,10.5,9
689,1975,fortis,9.1,7.6
701,1975,fortis,9.5,8.7
702,1975,fortis,10.8,9.8
703,1975,fortis,10.6,9.4
704,1975,fortis,9.9,9.9
705,1975,fortis,11.5,10.1
706,1975,fortis,11.2,9.8
707,1975,fortis,9.7,7.9
708,1975,fortis,12.2,10.8
709,1975,fortis,9.2,7.9
710,1975,fortis,10.5,10
711,1975,fortis,10.5,8.4
712,1975,fortis,10.8,9.5
713,1975,fortis,10.7,8.8
714,1975,fortis,11.8,10.4
715,1975,fortis,9.1,8.1
716,1975,fortis,10.1,9.8
717,1975,fortis,10,8.2
719,1975,fortis,11,9.5
720,1975,fortis,12.2,10.5
721,1975,fortis,11.4,9.7
723,1975,fortis,10.9,9.6
725,1975,fortis,10.6,9.6
726,1975,fortis,9.3,7.9
780,1975,fortis,10.9,10.1
781,1975,fortis,10.6,9.3
785,1975,fortis,11,10.3
786,1975,fortis,9,7.9
787,1975,fortis,11,9.1
788,1975,fortis,10.4,8.9
789,1975,fortis,10.4,8.3
790,1975,fortis,9.6,9.4
801,1975,fortis,10.6,9.5
802,1975,fortis,10.1,8.5
803,1975,fortis,9.7,8.6
804,1975,fortis,9.6,8.5
805,1975,fortis,10.1,8.2
807,1975,fortis,9.9,7.9
808,1975,fortis,11,10
809,1975,fortis,10.9,9.4
810,1975,fortis,9.7,8
811,1975,fortis,10,8.6
812,1975,fortis,10.4,9
813,1975,fortis,11.6,9.9
814,1975,fortis,9.6,8
815,1975,fortis,10.8,9.6
817,1975,fortis,10.9,9.2
818,1975,fortis,10.2,9
818,1975,fortis,10.2,9
819,1975,fortis,10.4,9.2
820,1975,fortis,11,9.5
821,1975,fortis,10.7,9.2
822,1975,fortis,11.1,9.7
823,1975,fortis,10.8,9.1
824,1975,fortis,10.9,9.4
825,1975,fortis,9.9,8.6
826,1975,fortis,11.8,9.8
827,1975,fortis,9.7,8
828,1975,fortis,11.9,10.4
829,1975,fortis,9.6,8.1
830,1975,fortis,10.9,9.9
831,1975,fortis,10.2,8.6
891,1975,fortis,9.9,8
892,1975,fortis,11.3,9
893,1975,fortis,10.9,9.7
894,1975,fortis,9.8,8.1
895,1975,fortis,10.3,8.8
896,1975,fortis,8.8,7.5
897,1975,fortis,11.6,10.2
898,1975,fortis,9.9,8.2
899,1975,fortis,9.9,8.6
900,1975,fortis,9.9,8.7
902,1975,fortis,10.4,8.6
903,1975,fortis,11.2,9.9
904,1975,fortis,10.8,9.5
905,1975,fortis,9.9,8.4
906,1975,fortis,9.9,8.7
907,1975,fortis,10.2,8.2
908,1975,fortis,10.4,9.2
909,1975,fortis,9.4,8.2
910,1975,fortis,10.2,9.2
911,1975,fortis,11,9.3
912,1975,fortis,10.6,8.9
913,1975,fortis,10.5,9
914,1975,fortis,10.4,9.1
915,1975,fortis,10.2,8.8
917,1975,fortis,10.2,8.8
919,1975,fortis,11,9.6
921,1975,fortis,11.1,10.2
922,1975,fortis,9.7,8.2
923,1975,fortis,10.5,8.9
924,1975,fortis,10.9,9
925,1975,fortis,10.7,8.8
926,1975,fortis,11,9.9
927,1975,fortis,10.9,9.3
928,1975,fortis,11.2,9.9
929,1975,fortis,11.5,9.5
930,1975,fortis,10.8,10
931,1975,fortis,10.2,8.9
932,1975,fortis,11,9.8
933,1975,fortis,10.9,9.9
934,1975,fortis,10.5,8.7
936,1975,fortis,10.8,9.2
941,1975,fortis,9.8,8.2
942,1975,fortis,9.7,7.9
943,1975,fortis,10.3,9.1
944,1975,fortis,10.3,8.3
944,1975,fortis,10.3,8.3
945,1975,fortis,11.6,10.8
945,1975,fortis,11.6,10.8
951,1975,fortis,10.9,9.9
952,1975,fortis,10.6,9
954,1975,fortis,11.5,9.3
991,1975,fortis,10.8,9.6
1040,1975,fortis,10.83,9.3
1368,1975,fortis,11.73,10.2
1420,1975,fortis,10.23,8.6
1433,1975,fortis,11.83,10.98
1560,1975,fortis,11.43,10.28
1581,1975,fortis,10.73,9.6
1770,1975,fortis,10.33,9.28
1857,1975,fortis,10.23,9.5
1860,1975,fortis,11.53,9.4
1884,1975,fortis,11.03,9.15
2102,1975,fortis,11.73,9.8
2105,1975,fortis,10.53,9.35
2220,1975,fortis,9.93,8.5
2381,1975,fortis,11.23,10.5
2482,1975,fortis,9.83,8.5
2939,1975,fortis,9.63,8.31
2955,1975,fortis,10.6,9.9
2974,1975,fortis,11.88,10.36
3642,1975,fortis,11.03,10.28
8016,1975,fortis,10.73,8.9
8020,1975,fortis,10.13,8.7
20139,1975,fortis,10.15,9.15
20165,1975,fortis,10.85,10.35
20166,1975,fortis,10.95,8.85
20168,1975,fortis,9.85,8.55
20204,1975,fortis,10.25,8.95
20238,1975,fortis,11.75,10.75
20267,1975,fortis,10.95,10.05
20273,1975,fortis,10.95,10.15
20283,1975,fortis,10.55,8.45
20285,1975,fortis,9.65,8.85
20286,1975,fortis,11.45,10.25
20293,1975,fortis,10.25,9.75
20298,1975,fortis,10.05,8.95
302,1975,scandens,13.9,8.4
304,1975,scandens,14,8.8
306,1975,scandens,12.9,8.4
310,1975,scandens,13.5,8
317,1975,scandens,12.9,7.9
318,1975,scandens,14.6,8.9
319,1975,scandens,13,8.6
322,1975,scandens,14.2,8.5
325,1975,scandens,14,8.9
327,1975,scandens,14.2,9.1
351,1975,scandens,13.1,8.6
353,1975,scandens,15.1,9.8
357,1975,scandens,13.5,8.2
358,1975,scandens,14.4,9
359,1975,scandens,14.9,9.7
361,1975,scandens,12.9,8.6
362,1975,scandens,13,8.2
363,1975,scandens,14.9,9
364,1975,scandens,14,8.4
365,1975,scandens,13.8,8.6
367,1975,scandens,13,8.9
404,1975,scandens,14.75,9.1
406,1975,scandens,13.7,8.3
407,1975,scandens,13.8,8.7
408,1975,scandens,14,9.6
409,1975,scandens,14.6,8.5
412,1975,scandens,15.2,9.1
421,1975,scandens,13.5,9
429,1975,scandens,15.1,9.2
460,1975,scandens,15,9.9
464,1975,scandens,12.8,8.6
467,1975,scandens,14.9,9.2
469,1975,scandens,15.3,8.4
470,1975,scandens,13.4,8.9
471,1975,scandens,14.2,8.5
472,1975,scandens,15.1,10.4
478,1975,scandens,15.1,9.6
508,1975,scandens,14,9.1
523,1975,scandens,13.6,9.3
525,1975,scandens,14,9.3
562,1975,scandens,14,8.8
568,1975,scandens,13.9,8.3
569,1975,scandens,14,8.8
570,1975,scandens,14.9,9.1
571,1975,scandens,15.6,10.1
573,1975,scandens,13.8,8.9
575,1975,scandens,14.4,9.2
577,1975,scandens,12.8,8.5
612,1975,scandens,14.2,10.2
613,1975,scandens,13.4,10.1
614,1975,scandens,14,9.2
718,1975,scandens,14.8,9.7
722,1975,scandens,14.2,9.1
724,1975,scandens,13.5,8.5
727,1975,scandens,13.4,8.2
728,1975,scandens,14.6,9
729,1975,scandens,13.5,9.3
782,1975,scandens,13.7,8
783,1975,scandens,13.9,9.1
784,1975,scandens,13.1,8.1
806,1975,scandens,13.4,8.3
816,1975,scandens,13.8,8.7
890,1975,scandens,13.6,8.8
901,1975,scandens,14,8.6
916,1975,scandens,13.5,8.7
918,1975,scandens,12.8,8
920,1975,scandens,14,8.8
935,1975,scandens,13.4,9
953,1975,scandens,14.9,9.1
1014,1975,scandens,15.54,9.74
1642,1975,scandens,14.63,9.1
1748,1975,scandens,14.73,9.8
1841,1975,scandens,15.73,10.4
1842,1975,scandens,14.83,8.3
2084,1975,scandens,15.94,9.44
2397,1975,scandens,15.14,9.04
8110,1975,scandens,14.23,9
20122,1975,scandens,14.15,9.05
20151,1975,scandens,14.35,9.65
20188,1975,scandens,14.95,9.45
20210,1975,scandens,13.95,8.65
20223,1975,scandens,14.05,9.45
20225,1975,scandens,14.55,9.45
20252,1975,scandens,14.05,9.05
20255,1975,scandens,14.45,8.75
20266,1975,scandens,15.05,9.45
20279,1975,scandens,13.25,8.35
19022,2012,fortis,10,8.5
19028,2012,fortis,12.5,8.9
19032,2012,fortis,9.3,7.5
19041,2012,fortis,10.3,9.6
19044,2012,fortis,11,9.2
19048,2012,fortis,10.1,8.2
19072,2012,fortis,9.6,7.8
19082,2012,fortis,10.9,8.6
19104,2012,fortis,10.3,8.4
19114,2012,fortis,9.8,7.7
19121,2012,fortis,10.1,8
19126,2012,fortis,10.4,8.7
19146,2012,fortis,9.6,8.1
19164,2012,fortis,10.6,8.8
19174,2012,fortis,10.6,9.4
19203,2012,fortis,11.9,10
19210,2012,fortis,11.3,9.6
19217,2012,fortis,11.3,9.6
19224,2012,fortis,9.7,8.1
19226,2012,fortis,9.7,7.5
19252,2012,fortis,10.1,8.4
19263,2012,fortis,10,7.9
19274,2012,fortis,10,8.3
19280,2012,fortis,10,8.9
19288,2012,fortis,11.5,9.1
19328,2012,fortis,9.5,7.7
19349,2012,fortis,11.2,8.3
19362,2012,fortis,10.7,8.6
19372,2012,fortis,10,8.4
19382,2012,fortis,9.8,7.7
19384,2012,fortis,10.9,9.1
19392,2012,fortis,9.2,7.7
19394,2012,fortis,10.2,9
19422,2012,fortis,11.3,10.2
19439,2012,fortis,10.3,8.1
19461,2012,fortis,10.7,8.6
19482,2012,fortis,10,8.4
19502,2012,fortis,9.7,8.1
19511,2012,fortis,9.9,8
19536,2012,fortis,10.7,8.3
19563,2012,fortis,11,10.3
19568,2012,fortis,9.7,8
19602,2012,fortis,10.5,8.8
19604,2012,fortis,11.7,9
19614,2012,fortis,10.8,9.3
19623,2012,fortis,9.1,7.6
19627,2012,fortis,10.9,8.2
19642,2012,fortis,12.2,10
19649,2012,fortis,10.9,8.2
19654,2012,fortis,10.7,8.2
19674,2012,fortis,10.4,8.3
19682,2012,fortis,9.7,7.8
19712,2012,fortis,10.3,8
19734,2012,fortis,9.8,8.4
19746,2012,fortis,10.6,9.3
19749,2012,fortis,10.5,8.9
19774,2012,fortis,12.5,9.7
19782,2012,fortis,9.2,7.6
19815,2012,fortis,10.1,9
19820,2012,fortis,10.6,8.6
19821,2012,fortis,11.5,8.9
19829,2012,fortis,10.8,8.6
19832,2012,fortis,10.5,8.8
19835,2012,fortis,10.1,8.5
19840,2012,fortis,10.7,9.2
19849,2012,fortis,9.6,8
19874,2012,fortis,10.7,9.4
19878,2012,fortis,10.1,7.7
19889,2012,fortis,10,8.4
19914,2012,fortis,10,8.5
19921,2012,fortis,10.4,9
19922,2012,fortis,10.4,9
19928,2012,fortis,11.7,9.3
19932,2012,fortis,10.6,8.7
19942,2012,fortis,11.5,8.1
19946,2012,fortis,10.7,8.7
19947,2012,fortis,10.4,7.9
19952,2012,fortis,10.1,7.7
19974,2012,fortis,10.8,8.4
19993,2012,fortis,11.5,9.25
19994,2012,fortis,11.1,8.1
21049,2012,fortis,9.9,8.3
21052,2012,fortis,10.5,8.5
21080,2012,fortis,12.2,9.9
21082,2012,fortis,10.9,8.4
21087,2012,fortis,12.9,9.9
21088,2012,fortis,9.7,7.2
21089,2012,fortis,9.7,8.2
21090,2012,fortis,10,8.2
21129,2012,fortis,10.1,8.3
21160,2012,fortis,10.2,8.4
21161,2012,fortis,9.6,7.5
21162,2012,fortis,9.9,8.2
21165,2012,fortis,10.6,8.6
21169,2012,fortis,9.8,8.2
21191,2012,fortis,11.1,8.8
21244,2012,fortis,10,8.5
21247,2012,fortis,10.9,8.1
21249,2012,fortis,10,8.3
21258,2012,fortis,10.6,8.5
21259,2012,fortis,10.7,8.1
21261,2012,fortis,9.4,7.3
21262,2012,fortis,10.1,8
21265,2012,fortis,11.8,10.2
21266,2012,fortis,12.2,11.1
21272,2012,fortis,12.9,9.9
21273,2012,fortis,10.1,8.7
21276,2012,fortis,10.1,8.3
21277,2012,fortis,9,7.8
21282,2012,fortis,11.7,9.9
21283,2012,fortis,10.9,10.3
21287,2012,fortis,10.4,8.4
21293,2012,fortis,12.7,8.7
21294,2012,fortis,10.5,9.8
21296,2012,fortis,9.6,8.7
21298,2012,fortis,10.6,9
21299,2012,fortis,10.4,7.8
21341,2012,fortis,10.5,8.5
21343,2012,fortis,10.1,8.2
21349,2012,fortis,10.6,9.2
22000,2012,fortis,10.6,9
19026,2012,scandens,14.3,9.4
19028,2012,scandens,12.5,8.9
19029,2012,scandens,13.7,9.5
19094,2012,scandens,13.8,11
19122,2012,scandens,12,8.7
19125,2012,scandens,13,8.4
19129,2012,scandens,13,9.1
19172,2012,scandens,13.6,8.7
19182,2012,scandens,12.8,10.2
19212,2012,scandens,13.6,9.6
19214,2012,scandens,12.95,8.85
19244,2012,scandens,13.1,8.8
19251,2012,scandens,13.4,9.5
19260,2012,scandens,13.9,9.2
19270,2012,scandens,12.3,9
19278,2012,scandens,14,9.8
19289,2012,scandens,12.5,9.3
19299,2012,scandens,12.3,9
19312,2012,scandens,13.9,10.2
19326,2012,scandens,13.1,7.7
19343,2012,scandens,12.5,9
19374,2012,scandens,13.9,9.5
19401,2012,scandens,13.7,9.4
19406,2012,scandens,12,8
19408,2012,scandens,14.4,8.9
19426,2012,scandens,13.5,9.4
19430,2012,scandens,13.8,9.5
19433,2012,scandens,13,8
19438,2012,scandens,14.9,10
19452,2012,scandens,12.5,8.95
19466,2012,scandens,12.3,8.2
19469,2012,scandens,12.8,8.8
19486,2012,scandens,13.4,9.2
19492,2012,scandens,13.8,9.4
19493,2012,scandens,13.5,9.5
19494,2012,scandens,13.5,8.1
19495,2012,scandens,13.4,9.5
19496,2012,scandens,12.3,8.4
19497,2012,scandens,14.35,9.3
19510,2012,scandens,13.2,9.3
19513,2012,scandens,13.8,9.6
19518,2012,scandens,14.6,9.2
19526,2012,scandens,14.3,10
19527,2012,scandens,13.8,8.9
19528,2012,scandens,13.6,10.5
19543,2012,scandens,12.9,8.9
19553,2012,scandens,13,8.6
19554,2012,scandens,13.5,8.8
19573,2012,scandens,13.2,9.15
19592,2012,scandens,13.7,9.5
19594,2012,scandens,13.1,9.1
19597,2012,scandens,13.2,10.2
19598,2012,scandens,12.6,8.4
19599,2012,scandens,13,10
19619,2012,scandens,13.9,10.2
19622,2012,scandens,13.2,9.3
19652,2012,scandens,15,10.8
19653,2012,scandens,13.37,8.3
19664,2012,scandens,11.4,7.8
19692,2012,scandens,13.8,9.8
19720,2012,scandens,13,7.9
19740,2012,scandens,13,8.9
19747,2012,scandens,13.1,7.7
19766,2012,scandens,12.8,8.9
19783,2012,scandens,13.3,9.4
19844,2012,scandens,13.5,9.4
19848,2012,scandens,12.4,8.5
19852,2012,scandens,13.1,8.5
19854,2012,scandens,14,9.6
19855,2012,scandens,13.5,10.2
19868,2012,scandens,11.8,8.8
19882,2012,scandens,13.7,9.5
19900,2012,scandens,13.2,9.3
19910,2012,scandens,12.2,9
19936,2012,scandens,13,9.2
19940,2012,scandens,13.1,8.7
19941,2012,scandens,14.7,9
19951,2012,scandens,13.7,9.1
19955,2012,scandens,13.5,8.7
19956,2012,scandens,13.3,9.4
21040,2012,scandens,14.1,9.8
21041,2012,scandens,12.5,8.6
21045,2012,scandens,13.7,10.6
21047,2012,scandens,14.6,9
21053,2012,scandens,14.1,9.5
21057,2012,scandens,12.9,8.1
21070,2012,scandens,13.9,9.3
21081,2012,scandens,13.4,9.6
21092,2012,scandens,13,8.5
21093,2012,scandens,12.7,8.2
21106,2012,scandens,12.1,8
21109,2012,scandens,14,9.5
21111,2012,scandens,14.9,9.7
21113,2012,scandens,13.9,9.9
21131,2012,scandens,12.9,9.1
21135,2012,scandens,14.6,9.5
21136,2012,scandens,14,9.8
21159,2012,scandens,13,8.4
21167,2012,scandens,12.7,8.3
21176,2012,scandens,14,9.6
21248,2012,scandens,14.1,9.4
21253,2012,scandens,14.1,10
21255,2012,scandens,13,8.9
21256,2012,scandens,13.5,9.1
21257,2012,scandens,13.4,9.8
21260,2012,scandens,13.9,9.3
21263,2012,scandens,13.1,9.9
21267,2012,scandens,12.9,8.9
21268,2012,scandens,14,8.5
21270,2012,scandens,14,10.6
21271,2012,scandens,14.1,9.3
21278,2012,scandens,14.7,8.9
21279,2012,scandens,13.4,8.9
21280,2012,scandens,13.8,9.7
21281,2012,scandens,13.4,9.8
21285,2012,scandens,13.8,10.5
21286,2012,scandens,12.4,8.4
21288,2012,scandens,14.1,10
21289,2012,scandens,12.9,9
21290,2012,scandens,13.9,8.7
21291,2012,scandens,14.3,8.8
21292,2012,scandens,13.2,8.4
21295,2012,scandens,14.2,9.3
21297,2012,scandens,13,9.8
21340,2012,scandens,14.6,8.9
21342,2012,scandens,13.1,9.8
21347,2012,scandens,15.2,9.1
